motif,year,frequency,gradient
poison,1935,0.3103234259706227,0.19074473378669762
poison,1936,0.0,-0.19074473378669762
poison,1951,0.0,0.1758355933538222
poison,1954,0.0,0.18441864020265153
poison,1956,0.0694589150517469,-0.2160210539032233
poison,1961,0.15738613113412447,0.19879304224352148
suicide,1939,0.1851646113394808,0.19793083952738105
suicide,1940,0.19531596796818124,-0.22362192985725465
suicide,1942,0.019702880561138038,0.19701148728518172
suicide,1944,0.0,0.40653402908615116
suicide,1946,0.0,-0.35466008844183533
suicide,1971,0.11517051634781497,0.45993159410505596
suicide,1973,0.01308301170929548,-0.24726643926661565
accident,1933,0.1520403819254394,0.26334778681939425
accident,1934,0.0668639152165555,-0.21701958449393113
accident,1935,0.03317299718029524,-0.16378180815116197
accident,1936,0.29780674094317144,0.22513267225470213
accident,1937,0.14014524143202955,-0.21645295573070125
accident,1964,0.018583560981955363,0.15259483664660095
accident,1971,0.5118689615458443,0.24525432873890224
victim,1935,0.04975949577044286,0.10056922768977372
victim,1952,0.038454882808744636,0.13079589300895952
victim,1953,0.0279513088200355,-0.10528048170052923
victim,1955,0.0,0.13023546572202543
victim,1957,0.0599250936329588,-0.1014998335381174
victim,1959,0.0,0.08143465960997906
victim,1973,0.0,0.10471935213627478
clue,1955,0.034795316550392315,0.15743510255106238
clue,1957,0.1198501872659176,-0.17364728762936724
clue,1967,0.0,0.07112722359010523
clue,1969,0.07322252324815114,-0.09157685214023241
weapon,1922,0.024629328604502242,0.057884587272697796
weapon,1934,0.015542913985514004,0.08357989402069438
weapon,1935,0.01724019033170126,-0.06699339543054676
weapon,1942,0.017374383209396067,0.07815349346115771
weapon,1944,0.01603592046183451,-0.07815349346115771
weapon,1952,0.05768232421311696,0.08286680589559849
weapon,1953,0.0,-0.08992217644365967
knife,1926,0.0,-0.07288919517075951
knife,1935,0.01658649859014762,0.08394444756530828
knife,1938,0.032999488507928124,0.10331254005318781
knife,1939,0.03703292226789616,-0.10201047768539998
knife,1963,0.25322191569042957,0.21371095129248666
knife,1967,0.06340852527622338,-0.12387502291577175
accused,1940,0.03727032164287578,0.2104103408954371
accused,1941,0.034221378094895887,-0.2663394833819058
guilty,1938,0.06599897701585625,-0.12023277064396672
guilty,1941,0.10266413428468765,-0.18643749648583163
guilty,1942,0.019702880561138038,0.15782355622049646
guilty,1942,0.03474876641879213,-0.1319671417201093
guilty,1950,0.040950599926288925,-0.08841420285754704
guilty,1952,0.038454882808744636,0.08992217644365967
guilty,1959,0.04339085031603003,-0.09202000757624272
murderer,1935,0.49759495770442863,0.35774047777962475
murderer,1936,0.5145923693302947,-0.31116683628548186
murderer,1952,0.05768232421311696,0.19619383951343927
murderer,1963,0.15992963096237656,0.33398043311334075
murderer,1965,0.0,-0.3485979311755272
murderer,1973,0.0,0.2029179651414313
criminal,1924,0.039462260924469236,-0.0689802036264129
criminal,1940,0.09317580410718944,-0.06518784599178408
criminal,1948,0.031764182707578935,0.07957278257179234
criminal,1954,0.0,0.06978432513557262
criminal,1956,0.05209418628881017,-0.0782894622383827
criminal,1967,0.0,0.12015524568246116
criminal,1969,0.1171560371970418,-0.13393675365506352
criminal,1972,0.06540115433037393,-0.07649405656122728
butler,1932,0.0,0.31928480204342274
butler,1934,0.016715978804138876,0.3137179786629972
butler,1935,0.0829324929507381,-0.3111439729136038
butler,1938,0.0,0.1833768206736763
butler,1968,0.0,0.24163432671889876
butler,1970,0.028453549580310145,-0.1648539824870221
servant,1924,0.013154086974823077,0.05803962624403536
servant,1928,0.04234895539243365,-0.07780731552342263
servant,1931,0.13913366107040162,-0.056609915226651944
servant,1937,0.0,0.1229790071974539
servant,1938,0.04949923276189219,-0.11057271639995536
servant,1944,0.017367442991368384,0.07015394795691295
servant,1945,0.03157562361856647,-0.08929750132514057
enemy,1926,0.014107954064501566,0.07944774986317332
enemy,1928,0.0,-0.07944774986317332
enemy,1934,0.046628741956542014,0.10029587282483325
enemy,1935,0.03448038066340252,-0.10029587282483325
enemy,1941,0.034221378094895887,0.21308426145307308
enemy,1942,0.0,-0.22326289364550564
enemy,1944,0.0,0.12026940346375882
enemy,1945,0.06315124723713295,-0.10643336057202586
nephew,1930,0.19813470329328184,0.11628425631790255
nephew,1934,0.015542913985514004,-0.09122422915526363
nephew,1949,0.0,0.06825099987714821
nephew,1953,0.03402054841124039,-0.06876000671594519
nephew,1968,0.09869023953530995,0.07322252324815114
niece,1941,0.0,-0.07990198689607414
niece,1953,0.26553743379033723,-0.14714537963507945
niece,1972,0.0,-0.07678034423187664
motive,1931,0.13913366107040162,0.1377985133572483
motive,1933,0.3648969166210545,-0.20508481944343568
motive,1934,0.25073968206208314,0.1852651893483314
motive,1935,0.2819704760325095,-0.1315579315809575
motive,1940,0.11181096492862733,0.19417527189928385
motive,1941,0.1711068904744794,-0.21307149211785636
motive,1942,0.09092837874700693,-0.17849017372611334
motive,1950,0.12285179977886677,-0.1591455651435847
alibi,1932,0.05420935653493793,0.15127460947960403
alibi,1935,0.03448038066340252,-0.1924927166755796
alibi,1938,0.01603103608586223,0.10651700104407075
alibi,1939,0.0,-0.11348149289776441
alibi,1940,0.01775599708801648,0.1711068904744794
alibi,1941,0.017756942964699197,-0.08244392794935824
alibi,1942,0.0,-0.07997577092042313
alibi,1957,0.08988764044943821,0.09339080459770116
blackmail,1922,0.024629328604502242,0.0740095061098959
blackmail,1925,0.07951548564082855,0.09170170141926018
blackmail,1927,0.0,-0.07758538295511563
blackmail,1935,0.03448038066340252,0.04975949577044286
blackmail,1940,0.01775599708801648,0.05912517577907283
blackmail,1941,0.0,-0.05859131590922276
blackmail,1946,0.0,0.06357550518741098
blackmail,1949,0.0,-0.044169011141193315
jealousy,1924,0.0,-0.041116392283275495
jealousy,1931,0.0,0.049091770484097935
jealousy,1933,0.060816152770175755,-0.06324424929076092
jealousy,1940,0.08877998544008238,0.05988741166606779
jealousy,1941,0.017756942964699197,-0.05003597138549877
jealousy,1971,0.051186896154584424,0.06540115433037393
jealousy,1975,0.08726612678022899,0.060588356864783
garden,1929,0.20692305418427975,0.2476864592878615
garden,1940,0.14204797670413183,-0.2329395102679736
garden,1962,0.2839900603478878,0.3356640530190177
garden,1964,0.13008492687368753,-0.39856839996652527
garden,1968,0.3524651411975355,0.3240670346042648
study,1925,0.11927322846124283,0.2981747695338899
study,1927,0.141240444201197,-0.31036662501939144
study,1929,0.07390109078009992,0.41753428513907653
study,1931,0.12367436539591255,-0.42261571084739813
study,1951,0.014110741096122368,0.20496965905730774
study,1952,0.03269897325223988,-0.21065566852396417
locked,1934,0.12434331188411203,0.11016580283849763
locked,1935,0.0,-0.10878334244089395
locked,1938,0.01603103608586223,0.12113711141796324
locked,1940,0.0,-0.11109876680368848
locked,1949,0.07073136228603763,0.10920159980343712
key,1938,0.01603103608586223,0.1357572217918557
key,1954,0.09727311046982913,0.1219772999611611
key,1973,0.10466409367436384,0.19253694730322993
frightened,1944,0.12157210093957867,0.09286936590210315
frightened,1945,0.1263024944742659,-0.10171521669626091
frightened,1951,0.028221482192244737,-0.1008357376600231
frightened,1966,0.1791596036438307,0.09513940230105294
frightened,1969,0.14644504649630227,-0.09164093671135924
