,poison,suicide,accident,victim,clue,weapon,knife,accused,guilty,murderer,criminal,butler,servant,enemy,nephew,niece,motive,alibi,blackmail,jealousy,garden,study,locked,key,frightened
poison,1.0,0.12747698853170208,-0.0647161278160539,-0.02088826223362592,-0.0886767927528539,-0.14973214613574004,-0.12000445565795982,0.16463356199379808,0.32383512631676326,-0.06934665789871328,0.1367352375776177,0.04864681180559789,0.189943169125089,-0.058847517462429014,-0.05332117849226906,-0.13001759617999253,0.1314410767232721,-0.19718890782029963,-0.07753725959393372,0.029966425953347812,-0.1523741697247596,0.0027328112817657235,0.1132653190498033,0.18148585173105525,-0.026862943330993046
suicide,0.12747698853170208,1.0,0.17437888564102957,-0.04139435674977932,-0.1669051668919488,-0.06645322157803521,-0.09231696067903124,0.09297978838583797,0.20637526585755378,-0.022423836572593094,0.11895897274331838,-0.07407480474691594,-0.11446046402529327,-0.13224833589584764,-0.13304859462419708,-0.07056917280629818,0.16002773822328004,-0.18463282618082155,-0.11605393639261669,0.34388073422100734,-0.11243737650912913,-0.0007800008072448821,-0.05288574278713645,0.018950062738565903,0.026473291379670322
accident,-0.0647161278160539,0.17437888564102957,1.0,-0.007400191094546361,0.11403049626088667,-0.19205106419368329,-0.14971378347156833,-0.11527149000511933,-0.14677503822065682,-0.19857349022978246,0.17378401549144373,0.13218043955323786,-0.09376488073778155,0.10836858229383395,-0.06835574547622808,-0.06811013951808707,-0.05123380299953794,-0.2298931060682426,-0.19071397606182353,0.04400877431013168,0.1639419222739708,-0.007989381626090917,-0.1480533009755422,0.008337191636757288,0.14603527509128048
victim,-0.02088826223362592,-0.04139435674977932,-0.007400191094546361,1.0,0.43270415191248845,0.25019848722310456,0.27830702399914037,-0.0891921679417754,0.18233162767119607,0.48078769294230056,0.14398756991730438,-0.01107992566692675,-0.07585548727964322,-0.09427881773048997,-0.11567051196666267,0.2353021580179735,0.14412679850836752,0.023978019895854564,0.13893104082388644,0.05352559209924033,0.03707329707040546,-0.165805497883162,-0.054941966317339684,0.011070046322562893,-0.013638164322045277
clue,-0.0886767927528539,-0.1669051668919488,0.11403049626088667,0.43270415191248845,1.0,0.2621912035133803,-0.055792680016672855,-0.023482487729164236,0.06617463360055258,0.32421019400099327,0.2624123275258532,0.06704138681805955,-0.03457344246983215,0.03276829751459378,-0.1190474984879801,-0.015345965667144473,0.1547888421862614,0.1663360390958455,0.0745409131630586,0.013629669839293342,-0.02730875394806451,-0.02954568106034468,0.06648609859897577,0.3054287792525831,-0.1270474080360464
weapon,-0.14973214613574004,-0.06645322157803521,-0.19205106419368329,0.25019848722310456,0.2621912035133803,1.0,0.16714469364365472,0.044403310405478146,0.16014493710508088,0.3761339198000411,-0.005775639511662875,0.015342567780610928,-0.0797355882398341,0.04590910348915281,-0.07544325390731765,0.17144991450802616,0.11720810300531005,0.28227879691702606,0.17979451898949544,-0.06276803063840057,-0.17542511720628354,0.19036731459788866,0.39431834214028,0.19716884415570646,-0.13175843216525354
knife,-0.12000445565795982,-0.09231696067903124,-0.14971378347156833,0.27830702399914037,-0.055792680016672855,0.16714469364365472,1.0,-0.06383417419173164,-0.117849434632329,0.42417549014329914,-0.031127494798176447,-0.07135059067802621,-0.07462486541268792,-0.09883061779911924,0.07971508043121585,-0.025482221324668444,-0.03137958370695265,0.01380879416123652,0.20349332382955349,-0.09708634788779429,0.054597532067914276,-0.04315209577674593,-0.07845267944569628,-0.1438839347085874,0.1480505637095217
accused,0.16463356199379808,0.09297978838583797,-0.11527149000511933,-0.0891921679417754,-0.023482487729164236,0.044403310405478146,-0.06383417419173164,1.0,0.6484053887885028,-0.05498574016123537,-0.05944001063290273,0.049100838004451634,-0.023374736991079982,-0.01800299570690428,0.14577303618096674,0.18143919080329637,0.3385398054792631,0.02243993929854864,0.07529660662417481,0.22559366290102095,-0.051378831750187336,0.07316942802316405,0.015241328155033684,-0.03320195421156258,-0.16099631989391688
guilty,0.32383512631676326,0.20637526585755378,-0.14677503822065682,0.18233162767119607,0.06617463360055258,0.16014493710508088,-0.117849434632329,0.6484053887885028,1.0,0.20885476208527473,0.13957840258075327,0.10824015928351118,0.029674727064817257,-0.18655399265809913,0.016885895809358002,0.10367791559640158,0.4557804932699707,0.10482883952565755,0.060456720583348306,0.24922305820365676,-0.10550015569060806,-0.03681847903523298,0.144496640705369,0.02189721382394783,-0.17972591750468672
murderer,-0.06934665789871328,-0.022423836572593094,-0.19857349022978246,0.48078769294230056,0.32421019400099327,0.3761339198000411,0.42417549014329914,-0.05498574016123537,0.20885476208527473,1.0,0.17441338778752577,0.13120264894650654,-0.10661023264999513,-0.1493767562330233,0.0284717440802875,0.06179582821703144,0.4077533125118648,0.37261806054440844,0.21542331064460832,0.06540294860959138,-0.1693732624210492,0.046731896138902496,0.19631637351492737,0.03957085706913393,-0.12699487534138149
criminal,0.1367352375776177,0.11895897274331838,0.17378401549144373,0.14398756991730438,0.2624123275258532,-0.005775639511662875,-0.031127494798176447,-0.05944001063290273,0.13957840258075327,0.17441338778752577,1.0,0.1598598823806803,-0.08095568888942636,-0.24252964563199958,0.026876134495374623,0.10614924616678056,0.1184874251875938,-0.05352099755173866,-0.08617742054156978,0.003936628508884525,0.06227421195780443,-0.08656319083143893,0.19311251472856514,0.2546822912709707,0.09619996314985366
butler,0.04864681180559789,-0.07407480474691594,0.13218043955323786,-0.01107992566692675,0.06704138681805955,0.015342567780610928,-0.07135059067802621,0.049100838004451634,0.10824015928351118,0.13120264894650654,0.1598598823806803,1.0,0.013953017120856986,-0.10656671245754633,0.25350730493633783,0.037121082025930625,0.33401119683165725,0.28729922189413953,0.0325659160436093,-0.015306545553517851,0.08469614099362759,0.1375545239568913,0.006516965634650521,0.09401187917383375,-0.023278557483404117
servant,0.189943169125089,-0.11446046402529327,-0.09376488073778155,-0.07585548727964322,-0.03457344246983215,-0.0797355882398341,-0.07462486541268792,-0.023374736991079982,0.029674727064817257,-0.10661023264999513,-0.08095568888942636,0.013953017120856986,1.0,0.33323594730089395,0.09924153333165069,0.06431855878719203,-0.1101748278417454,-0.05540613935646953,-0.1058366129204362,-0.06899737605164188,-0.08546196250331929,0.16412407470024282,0.08820249821378112,0.04715602346192878,-0.006445973882840544
enemy,-0.058847517462429014,-0.13224833589584764,0.10836858229383395,-0.09427881773048997,0.03276829751459378,0.04590910348915281,-0.09883061779911924,-0.01800299570690428,-0.18655399265809913,-0.1493767562330233,-0.24252964563199958,-0.10656671245754633,0.33323594730089395,1.0,-0.11213219902038923,-0.002367853798122683,-0.1618591405791461,0.02824007847729978,-0.15830312813002165,-0.069795486061936,0.15237719649940598,-0.03527716559074012,-0.024321721549994204,-0.052162671158328525,-0.02385957537767868
nephew,-0.05332117849226906,-0.13304859462419708,-0.06835574547622808,-0.11567051196666267,-0.1190474984879801,-0.07544325390731765,0.07971508043121585,0.14577303618096674,0.016885895809358002,0.0284717440802875,0.026876134495374623,0.25350730493633783,0.09924153333165069,-0.11213219902038923,1.0,0.2046672726752115,0.020681670514782258,0.11790483343025034,-0.02689366421560948,-0.046682606930649975,0.1757472535005274,0.4066420717446677,-0.011836818336608218,-0.11612175052874711,0.16778853000311866
niece,-0.13001759617999253,-0.07056917280629818,-0.06811013951808707,0.2353021580179735,-0.015345965667144473,0.17144991450802616,-0.025482221324668444,0.18143919080329637,0.10367791559640158,0.06179582821703144,0.10614924616678056,0.037121082025930625,0.06431855878719203,-0.002367853798122683,0.2046672726752115,1.0,-0.09080572044178142,-0.09005395637408745,-0.09052621682657337,-0.07154438468598848,0.15613454306686425,-0.0863913734266943,0.02843372926935559,-0.01382284004359284,-0.1224472849772639
motive,0.1314410767232721,0.16002773822328004,-0.05123380299953794,0.14412679850836752,0.1547888421862614,0.11720810300531005,-0.03137958370695265,0.3385398054792631,0.4557804932699707,0.4077533125118648,0.1184874251875938,0.33401119683165725,-0.1101748278417454,-0.1618591405791461,0.020681670514782258,-0.09080572044178142,1.0,0.3137742742599438,0.19852275633483896,0.219724038384613,-0.19090037283327418,0.07549469708785266,-0.03200665447423766,-0.04262123166903546,-0.22814549684420388
alibi,-0.19718890782029963,-0.18463282618082155,-0.2298931060682426,0.023978019895854564,0.1663360390958455,0.28227879691702606,0.01380879416123652,0.02243993929854864,0.10482883952565755,0.37261806054440844,-0.05352099755173866,0.28729922189413953,-0.05540613935646953,0.02824007847729978,0.11790483343025034,-0.09005395637408745,0.3137742742599438,1.0,0.19126942966412988,0.09843355793944808,-0.17318975023249006,0.12143641649392013,0.30586968912021234,0.09741458396125215,-0.15898339351661075
blackmail,-0.07753725959393372,-0.11605393639261669,-0.19071397606182353,0.13893104082388644,0.0745409131630586,0.17979451898949544,0.20349332382955349,0.07529660662417481,0.060456720583348306,0.21542331064460832,-0.08617742054156978,0.0325659160436093,-0.1058366129204362,-0.15830312813002165,-0.02689366421560948,-0.09052621682657337,0.19852275633483896,0.19126942966412988,1.0,-0.0063459385541625455,-0.11639096491396428,0.25281188994434384,-0.0349939954910021,-0.12443409303496078,-0.0978065804105018
jealousy,0.029966425953347812,0.34388073422100734,0.04400877431013168,0.05352559209924033,0.013629669839293342,-0.06276803063840057,-0.09708634788779429,0.22559366290102095,0.24922305820365676,0.06540294860959138,0.003936628508884525,-0.015306545553517851,-0.06899737605164188,-0.069795486061936,-0.046682606930649975,-0.07154438468598848,0.219724038384613,0.09843355793944808,-0.0063459385541625455,1.0,0.16175882762307178,-0.049555876726225516,-0.011686959021987145,0.031031791382992564,-0.00013247216832209177
garden,-0.1523741697247596,-0.11243737650912913,0.1639419222739708,0.03707329707040546,-0.02730875394806451,-0.17542511720628354,0.054597532067914276,-0.051378831750187336,-0.10550015569060806,-0.1693732624210492,0.06227421195780443,0.08469614099362759,-0.08546196250331929,0.15237719649940598,0.1757472535005274,0.15613454306686425,-0.19090037283327418,-0.17318975023249006,-0.11639096491396428,0.16175882762307178,1.0,0.09864307145625453,-0.1473040493711326,-0.12323280325131035,0.08506508775729689
study,0.0027328112817657235,-0.0007800008072448821,-0.007989381626090917,-0.165805497883162,-0.02954568106034468,0.19036731459788866,-0.04315209577674593,0.07316942802316405,-0.03681847903523298,0.046731896138902496,-0.08656319083143893,0.1375545239568913,0.16412407470024282,-0.03527716559074012,0.4066420717446677,-0.0863913734266943,0.07549469708785266,0.12143641649392013,0.25281188994434384,-0.049555876726225516,0.09864307145625453,1.0,0.2148936835230854,0.02679489882765825,-0.14395236722265506
locked,0.1132653190498033,-0.05288574278713645,-0.1480533009755422,-0.054941966317339684,0.06648609859897577,0.39431834214028,-0.07845267944569628,0.015241328155033684,0.144496640705369,0.19631637351492737,0.19311251472856514,0.006516965634650521,0.08820249821378112,-0.024321721549994204,-0.011836818336608218,0.02843372926935559,-0.03200665447423766,0.30586968912021234,-0.0349939954910021,-0.011686959021987145,-0.1473040493711326,0.2148936835230854,1.0,0.5499666850181947,-0.05596807949492756
key,0.18148585173105525,0.018950062738565903,0.008337191636757288,0.011070046322562893,0.3054287792525831,0.19716884415570646,-0.1438839347085874,-0.03320195421156258,0.02189721382394783,0.03957085706913393,0.2546822912709707,0.09401187917383375,0.04715602346192878,-0.052162671158328525,-0.11612175052874711,-0.01382284004359284,-0.04262123166903546,0.09741458396125215,-0.12443409303496078,0.031031791382992564,-0.12323280325131035,0.02679489882765825,0.5499666850181947,1.0,-0.24243552509798952
frightened,-0.026862943330993046,0.026473291379670322,0.14603527509128048,-0.013638164322045277,-0.1270474080360464,-0.13175843216525354,0.1480505637095217,-0.16099631989391688,-0.17972591750468672,-0.12699487534138149,0.09619996314985366,-0.023278557483404117,-0.006445973882840544,-0.02385957537767868,0.16778853000311866,-0.1224472849772639,-0.22814549684420388,-0.15898339351661075,-0.0978065804105018,-0.00013247216832209177,0.08506508775729689,-0.14395236722265506,-0.05596807949492756,-0.24243552509798952,1.0
