title,year,filename,poison,suicide,accident,victim,clue,weapon,knife,accused,guilty,murderer,criminal,butler,servant,enemy,nephew,niece,motive,alibi,blackmail,jealousy,garden,study,locked,key,frightened
Five Little Pigs,1942,32_Five Little Pigs_1942,0.3334040554056921,0.39402297457036345,0.10608310853817476,0.06061891916467129,0.0,0.0,0.030309459582335645,0.09092837874700693,0.3334040554056921,0.06061891916467129,0.06061891916467129,0.07577364895583912,0.015154729791167823,0.015154729791167823,0.0,0.0,0.09092837874700693,0.0,0.0,0.09092837874700693,0.5001060831085382,0.045464189373503466,0.06061891916467129,0.015154729791167823,0.045464189373503466
The Moving Finger,1942,33_The Moving Finger_1942,0.19111821530335674,0.24324136493154494,0.08687191604698034,0.017374383209396067,0.017374383209396067,0.017374383209396067,0.017374383209396067,0.052123149628188196,0.03474876641879213,0.06949753283758427,0.10424629925637639,0.0,0.052123149628188196,0.0,0.0,0.0,0.017374383209396067,0.017374383209396067,0.03474876641879213,0.0,0.24324136493154494,0.08687191604698034,0.03474876641879213,0.0,0.08687191604698034
Towards Zero,1944,34_Towards Zero_1944,0.0,0.0868372149568419,0.10420465794821028,0.03473488598273677,0.0,0.15630698692231543,0.03473488598273677,0.0,0.06946977196547353,0.1910418729050522,0.0868372149568419,0.10420465794821028,0.017367442991368384,0.0,0.06946977196547353,0.017367442991368384,0.12157210093957867,0.05210232897410514,0.0,0.017367442991368384,0.12157210093957867,0.05210232897410514,0.12157210093957867,0.12157210093957867,0.12157210093957867
Death Comes as the End,1944,35_Death Comes as the End_1944,0.28864656831302116,0.0,0.09621552277100705,0.01603592046183451,0.03207184092366902,0.01603592046183451,0.03207184092366902,0.048107761385503524,0.01603592046183451,0.0,0.0,0.03207184092366902,0.1924310455420141,0.24053880692751764,0.0,0.0,0.06414368184733804,0.0,0.0,0.0,0.0,0.01603592046183451,0.0,0.01603592046183451,0.27261064785118666
Sparkling Cyanide,1945,36_Sparkling Cyanide_1945,0.07893905904641617,0.8999052731291443,0.0,0.03157562361856647,0.015787811809283236,0.0,0.0,0.0,0.0947268708556994,0.20524155352068202,0.07893905904641617,0.015787811809283236,0.03157562361856647,0.06315124723713295,0.0,0.0,0.26839280075781496,0.0,0.015787811809283236,0.06315124723713295,0.015787811809283236,0.1263024944742659,0.0473634354278497,0.03157562361856647,0.1263024944742659
The Hollow,1946,37_The Hollow_1946,0.013836042891732963,0.0,0.13836042891732966,0.0,0.05534417156693185,0.04150812867519889,0.027672085783465927,0.013836042891732963,0.013836042891732963,0.09685230024213075,0.0,0.027672085783465927,0.013836042891732963,0.027672085783465927,0.0,0.0,0.08301625735039778,0.0,0.0,0.06918021445866483,0.17986855759252854,0.1937046004842615,0.05534417156693185,0.04150812867519889,0.06918021445866483
Taken at the Flood,1948,38_Taken at the Flood_1948,0.015882091353789467,0.1905850962454736,0.20646718759926308,0.015882091353789467,0.031764182707578935,0.015882091353789467,0.031764182707578935,0.015882091353789467,0.0476462740613684,0.15882091353789465,0.031764182707578935,0.0,0.031764182707578935,0.06352836541515787,0.0,0.031764182707578935,0.3017597357219999,0.031764182707578935,0.1429388221841052,0.0,0.11117463947652627,0.06352836541515787,0.0,0.031764182707578935,0.0952925481227368
Crooked House,1949,39_Crooked House_1949,0.1945112462866035,0.0,0.08841420285754704,0.07073136228603763,0.05304852171452822,0.0,0.0,0.017682840571509408,0.1768284057150941,0.26524260857264115,0.1591455651435847,0.0,0.035365681143018815,0.0,0.0,0.0,0.3182911302871694,0.05304852171452822,0.0,0.0,0.2829254491441505,0.035365681143018815,0.07073136228603763,0.035365681143018815,0.2121940868581129
A Murder Is Announced,1950,40_A Murder Is Announced_1950,0.01365019997542964,0.040950599926288925,0.08190119985257785,0.040950599926288925,0.02730039995085928,0.0,0.01365019997542964,0.02730039995085928,0.040950599926288925,0.10920159980343712,0.12285179977886677,0.02730039995085928,0.01365019997542964,0.0,0.13650199975429642,0.05460079990171856,0.12285179977886677,0.01365019997542964,0.05460079990171856,0.0,0.15015219972972604,0.10920159980343712,0.21840319960687424,0.09555139982800748,0.2593537995331632
They Came to Baghdad,1951,41_They Came to Baghdad_1951,0.0,0.0,0.07055370548061184,0.0,0.07055370548061184,0.014110741096122368,0.05644296438448947,0.0,0.0,0.0,0.07055370548061184,0.014110741096122368,0.0423322232883671,0.1269966698651013,0.0,0.1269966698651013,0.0,0.0,0.0,0.0423322232883671,0.29632556301856977,0.014110741096122368,0.0846644465767342,0.2257718575379579,0.028221482192244737
They Do It with Mirrors,1952,42_They Do It with Mirrors_1952,0.36532138668307407,0.07690976561748927,0.0961372070218616,0.038454882808744636,0.0,0.05768232421311696,0.019227441404372318,0.019227441404372318,0.038454882808744636,0.05768232421311696,0.05768232421311696,0.0,0.0,0.07690976561748927,0.0961372070218616,0.0,0.1730469726393509,0.019227441404372318,0.0,0.0,0.1922744140437232,0.5191409179180526,0.15381953123497855,0.13459208983060625,0.05768232421311696
Mrs McGinty's Dead,1952,43_Mrs McGinty's Dead_1952,0.03269897325223988,0.0,0.08174743313059969,0.26159178601791905,0.09809691975671964,0.17984435288731934,0.03269897325223988,0.0,0.17984435288731934,0.39238767902687854,0.04904845987835982,0.03269897325223988,0.01634948662611994,0.03269897325223988,0.0,0.2942907592701589,0.14714537963507945,0.03269897325223988,0.04904845987835982,0.01634948662611994,0.24524229939179912,0.03269897325223988,0.09809691975671964,0.06539794650447976,0.04904845987835982
After the Funeral,1953,44_After the Funeral_1953,0.16770785292021298,0.08385392646010649,0.0279513088200355,0.0279513088200355,0.0,0.0,0.01397565441001775,0.01397565441001775,0.055902617640071,0.16770785292021298,0.055902617640071,0.09782958087012425,0.055902617640071,0.0,0.15373219851019523,0.26553743379033723,0.09782958087012425,0.0,0.0,0.0,0.08385392646010649,0.09782958087012425,0.041926963230053245,0.01397565441001775,0.111805235280142
A Pocket Full of Rye,1953,45_A Pocket Full of Rye_1953,0.15309246785058175,0.0,0.03402054841124039,0.05103082261686059,0.03402054841124039,0.0,0.0,0.05103082261686059,0.20412329046744235,0.06804109682248077,0.017010274205620193,0.17010274205620196,0.0,0.0,0.03402054841124039,0.0,0.13608219364496155,0.017010274205620193,0.08505137102810098,0.0,0.3402054841124039,0.05103082261686059,0.05103082261686059,0.017010274205620193,0.08505137102810098
Destination Unknown,1954,46_Destination Unknown_1954,0.0,0.08106092539152428,0.2756071463311825,0.0,0.03242437015660971,0.0,0.016212185078304856,0.0,0.0,0.0,0.0,0.0,0.016212185078304856,0.0,0.016212185078304856,0.0,0.016212185078304856,0.0,0.0,0.0,0.1783340358613534,0.06484874031321942,0.016212185078304856,0.09727311046982913,0.11348529554813398
Hickory Dickory Dock,1955,47_Hickory Dickory Dock_1955,0.5219297482558848,0.3479531655039232,0.052192974825588476,0.0,0.034795316550392315,0.034795316550392315,0.052192974825588476,0.034795316550392315,0.0869882913759808,0.10438594965117695,0.1565789244767654,0.0,0.017397658275196157,0.017397658275196157,0.034795316550392315,0.0,0.1217836079263731,0.034795316550392315,0.0,0.034795316550392315,0.06959063310078463,0.13918126620156926,0.017397658275196157,0.2609648741279424,0.06959063310078463
Dead Man's Folly,1956,48_Dead Man's Folly_1956,0.0694589150517469,0.017364728762936724,0.17364728762936724,0.26047093144405087,0.3472945752587345,0.03472945752587345,0.0,0.0,0.08682364381468362,0.20837674515524068,0.05209418628881017,0.1562825588664305,0.017364728762936724,0.03472945752587345,0.0,0.0,0.26047093144405087,0.0,0.017364728762936724,0.0,0.312565117732861,0.017364728762936724,0.0,0.24310620268111413,0.08682364381468362
450 from Paddington,1957,49_450 from Paddington_1957,0.08988764044943821,0.0,0.04494382022471911,0.0599250936329588,0.1198501872659176,0.0,0.0,0.0,0.0,0.22471910112359553,0.0,0.0149812734082397,0.0149812734082397,0.0149812734082397,0.0599250936329588,0.0,0.1048689138576779,0.08988764044943821,0.0299625468164794,0.0,0.22471910112359553,0.149812734082397,0.0299625468164794,0.1348314606741573,0.0
Ordeal by Innocence,1958,50_Ordeal by Innocence_1958,0.028735632183908046,0.05747126436781609,0.043103448275862065,0.05747126436781609,0.0,0.0,0.05747126436781609,0.07183908045977011,0.21551724137931033,0.2729885057471264,0.08620689655172413,0.0,0.0,0.0,0.0,0.0,0.28735632183908044,0.18678160919540232,0.028735632183908046,0.014367816091954023,0.12931034482758622,0.028735632183908046,0.043103448275862065,0.10057471264367816,0.05747126436781609
Cat Among the Pigeons,1959,51_Cat Among the Pigeons_1959,0.0,0.02892723354402002,0.08678170063206006,0.0,0.05785446708804004,0.02892723354402002,0.02892723354402002,0.01446361677201001,0.04339085031603003,0.13017255094809008,0.01446361677201001,0.0,0.02892723354402002,0.0,0.0,0.02892723354402002,0.05785446708804004,0.05785446708804004,0.04339085031603003,0.02892723354402002,0.20249063480814014,0.04339085031603003,0.04339085031603003,0.18802701803613012,0.0
The Pale Horse,1961,52_The Pale Horse_1961,0.15738613113412447,0.06295445245364979,0.11017029179388711,0.22034058358777422,0.015738613113412448,0.0,0.047215839340237334,0.0,0.031477226226824896,0.11017029179388711,0.18886335736094934,0.0,0.0,0.015738613113412448,0.06295445245364979,0.047215839340237334,0.047215839340237334,0.031477226226824896,0.09443167868047467,0.015738613113412448,0.14164751802071202,0.07869306556706224,0.0,0.0,0.11017029179388711
The Mirror Crack'd from Side to Side,1962,53_The Mirror Crack'd from Side to Side_1962,0.39758608448704297,0.08519701810436635,0.21299254526091585,0.08519701810436635,0.0,0.0,0.0,0.0,0.02839900603478878,0.05679801206957756,0.0,0.22719204827831024,0.05679801206957756,0.02839900603478878,0.07099751508697195,0.01419950301739439,0.1419950301739439,0.01419950301739439,0.05679801206957756,0.02839900603478878,0.2839900603478878,0.05679801206957756,0.05679801206957756,0.042598509052183174,0.1561945331913383
The Clocks,1963,54_The Clocks_1963,0.013327469246864712,0.013327469246864712,0.1066197539749177,0.07996481548118828,0.026654938493729425,0.013327469246864712,0.25322191569042957,0.0,0.0,0.15992963096237656,0.11994722322178242,0.0,0.0,0.013327469246864712,0.0,0.09329228472805298,0.06663734623432356,0.05330987698745885,0.013327469246864712,0.0,0.8129756240587475,0.03998240774059414,0.05330987698745885,0.05330987698745885,0.09329228472805298
A Caribbean Mystery,1964,55_A Caribbean Mystery_1964,0.07433424392782145,0.1486684878556429,0.018583560981955363,0.1486684878556429,0.018583560981955363,0.05575068294586608,0.4274219025849733,0.0,0.09291780490977682,0.7247588782962591,0.0,0.0,0.018583560981955363,0.018583560981955363,0.11150136589173217,0.0,0.09291780490977682,0.05575068294586608,0.09291780490977682,0.0,0.13008492687368753,0.0,0.018583560981955363,0.018583560981955363,0.20441917080150898
At Bertram's Hotel,1965,56_At Bertram's Hotel_1965,0.06335529650278764,0.0,0.4118094272681196,0.01583882412569691,0.04751647237709073,0.0,0.03167764825139382,0.0,0.01583882412569691,0.0,0.04751647237709073,0.01583882412569691,0.0,0.04751647237709073,0.0,0.03167764825139382,0.01583882412569691,0.01583882412569691,0.03167764825139382,0.0,0.01583882412569691,0.0,0.0,0.12671059300557527,0.06335529650278764
Third Girl,1966,57_Third Girl_1966,0.20672261958903543,0.1791596036438307,0.09647055580821653,0.12403357175342125,0.055126031890409447,0.013781507972602362,0.2618486514794449,0.013781507972602362,0.013781507972602362,0.027563015945204723,0.027563015945204723,0.0,0.04134452391780708,0.0,0.055126031890409447,0.0,0.08268904783561416,0.013781507972602362,0.027563015945204723,0.027563015945204723,0.15159658769862597,0.027563015945204723,0.027563015945204723,0.0689075398630118,0.1791596036438307
Endless Night,1967,58_Endless Night_1967,0.0,0.0,0.2377819697858377,0.0,0.0,0.0,0.06340852527622338,0.0,0.015852131319055846,0.0,0.0,0.0,0.0,0.06340852527622338,0.0,0.0,0.015852131319055846,0.0,0.0,0.03170426263811169,0.1426691818715026,0.0,0.015852131319055846,0.0,0.25363410110489354
By the Pricking of My Thumbs,1968,59_By the Pricking of My Thumbs_1968,0.0,0.014098605647901424,0.22557769036642278,0.0,0.1973804790706199,0.014098605647901424,0.014098605647901424,0.0,0.028197211295802847,0.04229581694370427,0.26787350731012705,0.0,0.014098605647901424,0.0,0.09869023953530995,0.04229581694370427,0.028197211295802847,0.014098605647901424,0.014098605647901424,0.0,0.3524651411975355,0.056394422591605695,0.04229581694370427,0.04229581694370427,0.18328187342271848
Hallowe'en Party,1969,60_Hallowe'en Party_1969,0.0,0.0,0.2782455883429743,0.13180054184667203,0.07322252324815114,0.014644504649630226,0.1171560371970418,0.02928900929926045,0.02928900929926045,0.24895657904371385,0.1171560371970418,0.4832686534377975,0.0,0.014644504649630226,0.14644504649630227,0.0585780185985209,0.1171560371970418,0.02928900929926045,0.0,0.043933513948890675,0.7908032510800321,0.1171560371970418,0.014644504649630226,0.0,0.14644504649630227
Passenger to Frankfurt,1970,61_Passenger to Frankfurt_1970,0.014226774790155073,0.028453549580310145,0.0,0.014226774790155073,0.014226774790155073,0.014226774790155073,0.014226774790155073,0.0,0.028453549580310145,0.0,0.0,0.028453549580310145,0.0,0.014226774790155073,0.05690709916062029,0.014226774790155073,0.04268032437046522,0.0,0.0,0.0,0.028453549580310145,0.04268032437046522,0.014226774790155073,0.014226774790155073,0.0
Nemesis,1971,62_Nemesis_1971,0.0,0.11517051634781497,0.5118689615458443,0.10237379230916885,0.11517051634781497,0.0,0.03839017211593832,0.012796724038646106,0.07678034423187664,0.12796724038646107,0.1791541365410455,0.1535606884637533,0.03839017211593832,0.10237379230916885,0.07678034423187664,0.1535606884637533,0.012796724038646106,0.025593448077292212,0.0,0.051186896154584424,0.8061936144347047,0.08957706827052275,0.0,0.0,0.1407639644251072
Elephants Can Remember,1972,63_Elephants Can Remember_1972,0.0,0.948316737790422,0.4905086574778045,0.0,0.01635028858259348,0.03270057716518696,0.0,0.0,0.06540115433037393,0.06540115433037393,0.06540115433037393,0.0,0.01635028858259348,0.0,0.01635028858259348,0.0,0.1798531744085283,0.0,0.0,0.13080230866074785,0.0817514429129674,0.0817514429129674,0.0,0.01635028858259348,0.13080230866074785
Postern of Fate,1973,64_Postern of Fate_1973,0.05233204683718192,0.01308301170929548,0.15699614051154578,0.0,0.039249035127886446,0.0,0.01308301170929548,0.0,0.01308301170929548,0.0,0.02616602341859096,0.01308301170929548,0.0,0.14391312880225027,0.01308301170929548,0.0,0.0,0.0,0.02616602341859096,0.01308301170929548,0.928893831359979,0.039249035127886446,0.0,0.10466409367436384,0.039249035127886446
Curtain,1975,65_Curtain_1975,0.13962580284836637,0.4537838592571907,0.29670483105277856,0.20943870427254957,0.12217257749232058,0.03490645071209159,0.0,0.06981290142418319,0.17453225356045798,0.4712370846132365,0.13962580284836637,0.0,0.0,0.0,0.0,0.017453225356045796,0.24434515498464116,0.0,0.0,0.08726612678022899,0.27925160569673274,0.05235967606813739,0.19198547891650378,0.4014241831890533,0.03490645071209159
Sleeping Murder,1976,66_Sleeping Murder_1976,0.05034739703957305,0.03356493135971537,0.05034739703957305,0.03356493135971537,0.05034739703957305,0.0,0.0,0.0,0.05034739703957305,0.23495451951800758,0.03356493135971537,0.03356493135971537,0.05034739703957305,0.016782465679857684,0.08391232839928843,0.016782465679857684,0.0,0.08391232839928843,0.03356493135971537,0.13425972543886147,0.7719934212734535,0.13425972543886147,0.016782465679857684,0.016782465679857684,0.30208438223743833
